epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.341,0.86425,1.04978,2.02154,0.82159,0.84,0.87353,0.62471,0.93863,1.35042,2.2969,0.00052,0.00052,0.00052
2,429.252,0.8683,1.03235,2.03575,0.95718,0.74,0.8991,0.58078,1.09996,1.36995,2.58079,0.00095506,0.00095506,0.00095506
3,638.772,0.90363,1.03212,2.0183,0.59874,0.54,0.54888,0.36806,1.18733,1.84578,2.53093,0.0012832,0.0012832,0.0012832
4,846.554,0.89741,1.02725,1.99082,0.78199,0.82,0.85846,0.58523,1.05744,1.20382,2.55757,0.001406,0.001406,0.001406
5,1053.32,0.93522,1.01859,2.04084,0.79443,0.69568,0.79859,0.56091,1.08529,1.19507,2.42021,0.001208,0.001208,0.001208
6,1259.7,0.87537,0.88544,1.97336,0.89556,0.85754,0.91898,0.6707,0.94602,0.9361,2.26052,0.00101,0.00101,0.00101
7,1467.43,0.84905,0.83814,1.96185,1,0.83274,0.93237,0.67831,0.9096,0.86217,2.38857,0.000812,0.000812,0.000812
8,1679.66,0.7768,0.76095,1.92083,0.86652,0.90897,0.91811,0.68178,0.81645,0.94484,2.2558,0.000614,0.000614,0.000614
9,1886.49,0.73181,0.72432,1.89461,0.85319,0.96,0.94918,0.7069,0.82601,0.78666,2.3011,0.000416,0.000416,0.000416
10,2092.14,0.70826,0.64228,1.89353,0.93506,0.88,0.94245,0.72718,0.78427,0.74262,2.21715,0.000218,0.000218,0.000218
